time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2024/07/12/13:23:29.811666,13183,1720190274,208652973,odom,base_link,-2.6383906662041765,3.0773059546327097,0.0,0.0,0.0,-0.9998020539090353,0.01989605486709368,"(0.002685094067431661, 8.780265937832584e-22, 0.0, 0.0, 0.0, -1.9409152533067835e-19, 9.34764984334681e-22, 0.002685094067431661, 0.0, 0.0, 0.0, -2.389113559118779e-20, 0.0, 0.0, 0.0028430876859684468, 4.973828498707077e-15, 3.644745479373785e-12, 0.0, 0.0, 0.0, 4.973828498710856e-15, 773.8002973570594, -9.795155339176976, 0.0, 0.0, 0.0, 3.644745479373827e-12, -9.795155339176976, 303.4060458208871, 0.0, -1.940915253306783e-19, -2.3891135591187786e-20, 0.0, 0.0, 0.0, 0.002699210484524161)",3.406931802538174e-16,-4.260160843042556e-15,0.0,0.0,0.0,0.00014350661412793113,"(0.06304975473765596, -1.885448023272095e-19, 0.0, 0.0, 0.0, 2.2996263053577896e-20, 1.3830578587540964e-19, 0.06304975473765596, 0.0, 0.0, 0.0, 2.8070993634106293e-21, 0.0, 0.0, 0.08268673004940831, -1.7480909458889797e-14, 1.794801482831153e-12, 0.0, 0.0, 0.0, -1.7480909458888784e-14, 0.6592299006687765, -0.000364297215576492, 0.0, 0.0, 0.0, 1.7948014828311715e-12, -0.0003642972155764942, 0.4508191254843128, 0.0, 2.2996263053577896e-20, 2.8070993634106286e-21, 0.0, 0.0, 0.0, 0.003874902939489067)"
2024/07/12/13:23:29.911818,13184,1720190274,290652990,odom,base_link,-2.6383906662041765,3.0773059546327097,0.0,0.0,0.0,-0.9998020251251623,0.019897501240718846,"(0.004507764381673047, -6.418921553411495e-22, 0.0, 0.0, 0.0, -5.152348255977555e-19, 2.3227231600489017e-21, 0.004507764381673047, 0.0, 0.0, 0.0, -5.956684750868371e-20, 0.0, 0.0, 0.005033047491457698, -8.488382808204943e-14, 6.246634921542599e-12, 0.0, 0.0, 0.0, -8.488382808204292e-14, 777.0806596916759, -9.821652647731673, 0.0, 0.0, 0.0, 6.246634921542671e-12, -9.821652647731673, 305.07039197203846, 0.0, -5.152348255977553e-19, -5.956684750868369e-20, 0.0, 0.0, 0.0, 0.004596340159314045)",3.133024496343884e-16,-4.293678724020833e-15,0.0,0.0,0.0,0.0001152675743042584,"(0.06535350853137732, -1.5181354349641115e-19, 0.0, 0.0, 0.0, 1.9449643194882923e-20, 1.17194684230223e-19, 0.06535350853137732, 0.0, 0.0, 0.0, 2.220366912176681e-21, 0.0, 0.0, 0.08598881381499551, -4.1970647706379465e-14, 1.798636462775574e-12, 0.0, 0.0, 0.0, -4.197064770637845e-14, 0.6600499008404379, -0.000364297215576492, 0.0, 0.0, 0.0, 1.7986364627755922e-12, -0.0003642972155764942, 0.45163912565597414, 0.0, 1.9449643194882914e-20, 2.2203669121766795e-21, 0.0, 0.0, 0.0, 0.0034635850207716053)"
2024/07/12/13:23:29.961673,13185,1720190274,311652899,odom,base_link,-2.6383906662041765,3.0773059546327097,0.0,0.0,0.0,-0.9998020660479559,0.019895444861548626,"(0.0026850706552157193, -6.851299240666927e-22, 0.0, 0.0, 0.0, -1.9608885106664673e-19, 1.4099775248908687e-21, 0.0026850706552157193, 0.0, 0.0, 0.0, -2.235922613289281e-20, 0.0, 0.0, 0.00284305923052837, -5.684726957151332e-14, 3.482941049623752e-12, 0.0, 0.0, 0.0, -5.684726957150968e-14, 777.922185751087, -9.828193408833823, 0.0, 0.0, 0.0, 3.482941049623793e-12, -9.82819340883382, 305.49759075931877, 0.0, -1.9608885106664673e-19, -2.235922613289281e-20, 0.0, 0.0, 0.0, 0.0026992142669761765)",3.0672420894193347e-16,-4.302262469222816e-15,0.0,0.0,0.0,0.0001125562798903437,"(0.06304203048199643, -1.6836222545989782e-20, 0.0, 0.0, 0.0, 2.2966689687700636e-20, -1.6791741393225886e-20, 0.06304203048199643, 0.0, 0.0, 0.0, 2.548926882913256e-21, 0.0, 0.0, 0.0826745371966772, -4.2441386848209874e-14, 1.7118811160416691e-12, 0.0, 0.0, 0.0, -4.244138684820891e-14, 0.6602598999249105, -0.000364297215576492, 0.0, 0.0, 0.0, 1.7118811160416865e-12, -0.0003642972155764942, 0.4518491247404468, 0.0, 2.2966689687700618e-20, 2.548926882913254e-21, 0.0, 0.0, 0.0, 0.003877217466486447)"
2024/07/12/13:23:30.011920,13186,1720190274,373652935,odom,base_link,-2.6383906662041765,3.0773059546327097,0.0,0.0,0.0,-0.9998020868112124,0.01989440142212913,"(0.0033323579375387725, -6.708434767805054e-22, 0.0, 0.0, 0.0, -2.982381374142213e-19, 2.149842412025319e-21, 0.0033323579375387725, 0.0, 0.0, 0.0, -3.2438025383291184e-20, 0.0, 0.0, 0.0036216616025588713, -1.1899321172531506e-13, 4.330646178264139e-12, 0.0, 0.0, 0.0, -1.1899321172531046e-13, 780.4101055823954, -9.847400886778868, 0.0, 0.0, 0.0, 4.3306461782641865e-12, -9.847400886778866, 306.76117116172907, 0.0, -2.9823813741422125e-19, -3.2438025383291184e-20, 0.0, 0.0, 0.0, 0.0033890608508609244)",2.878918055453149e-16,-4.327605303688906e-15,0.0,0.0,0.0,3.327267779342271e-05,"(0.06387719959006691, 3.8533655497189436e-20, 0.0, 0.0, 0.0, 1.8466984437402562e-20, -2.91412421887775e-20, 0.06387719959006691, 0.0, 0.0, 0.0, 1.9069018314850595e-21, 0.0, 0.0, 0.08387714800860942, -5.74699770677812e-14, 1.6873194504125073e-12, 0.0, 0.0, 0.0, -5.746997706778025e-14, 0.6608799002873067, -0.000364297215576492, 0.0, 0.0, 0.0, 1.6873194504125242e-12, -0.0003642972155764942, 0.45246912510284304, 0.0, 1.8466984437402538e-20, 1.9069018314850584e-21, 0.0, 0.0, 0.0, 0.003065091825832823)"
2024/07/12/13:23:30.061566,13187,1720190274,414652824,odom,base_link,-2.6383906662041765,3.0773059546327097,0.0,0.0,0.0,-0.9998020992871959,0.019893774426088535,"(0.0026850875244052723, 3.688016233933676e-23, 0.0, 0.0, 0.0, -1.8803402837588113e-19, 6.780275999309145e-22, 0.0026850875244052723, 0.0, 0.0, 0.0, -1.996254645107933e-20, 0.0, 0.0, 0.002843085615940034, -1.109670275420163e-13, 3.3242210020589264e-12, 0.0, 0.0, 0.0, -1.1096702754201276e-13, 782.0581901697583, -9.858592531772455, 0.0, 0.0, 0.0, 3.3242210020589615e-12, -9.858592531772455, 307.5986086331108, 0.0, -1.8803402837588106e-19, -1.9962546451079337e-20, 0.0, 0.0, 0.0, 0.00269888678593956)",2.7608869281587076e-16,-4.344364205727489e-15,0.0,0.0,0.0,3.179976684354839e-05,"(0.06304178566030387, 4.046849153446849e-20, 0.0, 0.0, 0.0, 2.251223634450937e-20, -1.7934374279400687e-21, 0.06304178566030387, 0.0, 0.0, 0.0, 2.232016012179583e-21, 0.0, 0.0, 0.08267586224419686, -6.352106034029431e-14, 1.6308866964547756e-12, 0.0, 0.0, 0.0, -6.352106034029339e-14, 0.6612898991810445, -0.000364297215576492, 0.0, 0.0, 0.0, 1.630886696454792e-12, -0.0003642972155764942, 0.4528791239965808, 0.0, 2.251223634450934e-20, 2.232016012179583e-21, 0.0, 0.0, 0.0, 0.0038793899918029245)"
2024/07/12/13:23:30.112568,13188,1720190274,476652861,odom,base_link,-2.6383906662041765,3.0773059546327097,0.0,0.0,0.0,-0.9998022112507545,0.019888146673373273,"(0.0033322826964313603, 3.970466940254533e-22, 0.0, 0.0, 0.0, -2.9928622421144496e-19, 8.718483656308912e-22, 0.0033322826964313603, 0.0, 0.0, 0.0, -3.029973099330556e-20, 0.0, 0.0, 0.003621564907802914, -1.8242609160608155e-13, 4.1304230927179905e-12, 0.0, 0.0, 0.0, -1.8242609160607718e-13, 784.5546479868445, -9.875468926381247, 0.0, 0.0, 0.0, 4.130423092718034e-12, -9.875468926381245, 308.86787066161867, 0.0, -2.99286224211445e-19, -3.0299730993305554e-20, 0.0, 0.0, 0.0, 0.0033892443028629444)",2.5913545707348306e-16,-4.369707196650372e-15,0.0,0.0,0.0,-0.0002519699494941391,"(0.06387984518634685, 7.050421888800342e-20, 0.0, 0.0, 0.0, 1.9765488137608184e-20, -1.3401185819611063e-20, 0.06387984518634685, 0.0, 0.0, 0.0, 1.8148487391821983e-21, 0.0, 0.0, 0.08388333430292724, -7.67058986339668e-14, 1.6063732992108619e-12, 0.0, 0.0, 0.0, -7.670589863396589e-14, 0.6619098995434407, -0.000364297215576492, 0.0, 0.0, 0.0, 1.6063732992108774e-12, -0.0003642972155764942, 0.45349912435897705, 0.0, 1.976548813760816e-20, 1.814848739182199e-21, 0.0, 0.0, 0.0, 0.0033029188059351157)"
2024/07/12/13:23:30.161677,13189,1720190274,517652988,odom,base_link,-2.6383906662041765,3.0773059546327097,0.0,0.0,0.0,-0.9998022078816667,0.019888316040943193,"(0.0026850572457208332, -6.071200925723648e-22, 0.0, 0.0, 0.0, -1.8958191558639478e-19, 9.617463148693026e-22, 0.0026850572457208332, 0.0, 0.0, 0.0, -1.8754583230425337e-20, 0.0, 0.0, 0.0028430522100842516, -1.5811837016785018e-13, 3.1693182490233924e-12, 0.0, 0.0, 0.0, -1.5811837016784685e-13, 786.2085592540067, -9.881099939478569, 0.0, 0.0, 0.0, 3.169318249023426e-12, -9.881099939478567, 309.70890790758074, 0.0, -1.8958191558639473e-19, -1.8754583230425337e-20, 0.0, 0.0, 0.0, 0.002699145227750954)",2.485091947730752e-16,-4.386466330569707e-15,0.0,0.0,0.0,-0.00024117416733773647,"(0.0630455882954978, 1.4067480772374807e-19, 0.0, 0.0, 0.0, 2.428690831312513e-20, -5.310300007579402e-20, 0.06304558829549782, 0.0, 0.0, 0.0, 2.136913512860608e-21, 0.0, 0.0, 0.08268367931727898, -8.108902554193434e-14, 1.5519063632552859e-12, 0.0, 0.0, 0.0, -8.108902554193347e-14, 0.6623199008213643, -0.000364297215576492, 0.0, 0.0, 0.0, 1.5519063632553008e-12, -0.0003642972155764942, 0.4539091256369006, 0.0, 2.42869083131251e-20, 2.1369135128606095e-21, 0.0, 0.0, 0.0, 0.00411640021924027)"
2024/07/12/13:23:30.211638,13190,1720190274,579652786,odom,base_link,-2.6383906662041765,3.0773059546327097,0.0,0.0,0.0,-0.9998022853839387,0.01988441955534972,"(0.0033322549461996653, -1.196103165751678e-21, 0.0, 0.0, 0.0, -3.022796051834627e-19, 1.405379860727594e-21, 0.0033322549461996653, 0.0, 0.0, 0.0, -2.8580175339866433e-20, 0.0, 0.0, 0.0036215395970426176, -2.37486465572893e-13, 3.934991478487733e-12, 0.0, 0.0, 0.0, -2.374864655728888e-13, 788.713792496439, -9.889985669680302, 0.0, 0.0, 0.0, 3.934991478487775e-12, -9.8899856696803, 310.9836255866009, 0.0, -3.0227960518346277e-19, -2.858017533986643e-20, 0.0, 0.0, 0.0, 0.0033895471445122413)",2.332484303684779e-16,-4.4118092498737495e-15,0.0,0.0,0.0,-0.0003355880520600968,"(0.06388398612755868, 1.9987661328317304e-19, 0.0, 0.0, 0.0, 2.091353327079974e-20, -1.0866903463083481e-19, 0.06388398612755869, 0.0, 0.0, 0.0, 1.707158779800381e-21, 0.0, 0.0, 0.0838914215859162, -9.258672698627218e-14, 1.5275094299548839e-12, 0.0, 0.0, 0.0, -9.258672698627134e-14, 0.6629398987995747, -0.000364297215576492, 0.0, 0.0, 0.0, 1.5275094299548982e-12, -0.0003642972155764942, 0.45452912361511105, 0.0, 2.0913533270799717e-20, 1.707158779800382e-21, 0.0, 0.0, 0.0, 0.003399843388807477)"
2024/07/12/13:23:30.261663,13191,1720190274,620652914,odom,base_link,-2.6383906662041765,3.0773059546327097,0.0,0.0,0.0,-0.9998022570294685,0.019885845186479043,"(0.0026850522164986253, -7.291146810411936e-22, 0.0, 0.0, 0.0, -1.9148923354153536e-19, 3.48953718941892e-22, 0.0026850522164986253, 0.0, 0.0, 0.0, -1.771109114433861e-20, 0.0, 0.0, 0.0028430515258201935, -1.989160920511851e-13, 3.018156282385898e-12, 0.0, 0.0, 0.0, -1.9891609205118195e-13, 790.3733668293121, -9.893949205981135, 0.0, 0.0, 0.0, 3.0181562823859296e-12, -9.893949205981134, 311.8284288687614, 0.0, -1.9148923354153543e-19, -1.7711091144338602e-20, 0.0, 0.0, 0.0, 0.0026993404269889426)",2.2368257208501533e-16,-4.428568429708064e-15,0.0,0.0,0.0,-0.0003210746959371664,"(0.06304965299902505, 2.440480753610664e-19, 0.0, 0.0, 0.0, 2.5455979534545023e-20, -1.644863640710298e-19, 0.06304965299902507, 0.0, 0.0, 0.0, 1.9972168490838325e-21, 0.0, 0.0, 0.08269135820827475, -9.548329704041663e-14, 1.475015578590538e-12, 0.0, 0.0, 0.0, -9.548329704041582e-14, 0.6633499000774983, -0.000364297215576492, 0.0, 0.0, 0.0, 1.4750155785905517e-12, -0.0003642972155764942, 0.4549391248930346, 0.0, 2.545597953454499e-20, 1.997216849083833e-21, 0.0, 0.0, 0.0, 0.0042128497822093635)"
2024/07/12/13:23:30.311956,13192,1720190274,682652950,odom,base_link,-2.6383906662041765,3.0773059546327097,0.0,0.0,0.0,-0.9998022368431502,0.019886860069742152,"(0.0033322750880584967, -9.388499952476864e-22, 0.0, 0.0, 0.0, -3.0528630465689837e-19, -1.8164886251664488e-21, 0.0033322750880584967, 0.0, 0.0, 0.0, -2.7047366592318947e-20, 0.0, 0.0, 0.003621570254958357, -2.8484033122425715e-13, 3.7445576077698785e-12, 0.0, 0.0, 0.0, -2.848403312242531e-13, 792.887174341438, -9.900442279861092, 0.0, 0.0, 0.0, 3.7445576077699165e-12, -9.900442279861092, 313.1088585001222, 0.0, -3.0528630465689833e-19, -2.7047366592318956e-20, 0.0, 0.0, 0.0, 0.003389728911604756)",2.099468846490317e-16,-4.453911364976076e-15,0.0,0.0,0.0,-0.0001655717032833493,"(0.06388787490278343, 1.8064522586174096e-19, 0.0, 0.0, 0.0, 2.1570080203501117e-20, -1.2744867198178462e-19, 0.06388787490278344, 0.0, 0.0, 0.0, 1.5739135788332864e-21, 0.0, 0.0, 0.08389860047698434, -1.0544230845158954e-13, 1.4508362645127222e-12, 0.0, 0.0, 0.0, -1.0544230845158873e-13, 0.6639699004398945, -0.000364297215576492, 0.0, 0.0, 0.0, 1.4508362645127356e-12, -0.0003642972155764942, 0.45555912525543085, 0.0, 2.15700802035011e-20, 1.5739135788332866e-21, 0.0, 0.0, 0.0, 0.003438369322503562)"
